stop_id,stop_code,stop_name,stop_lat,stop_lon
10241,59688.0,Northbound Gilley Ave @ Ewart St,49.210454,-122.972279
10242,59682.0,Eastbound Rumble St @ Sussex Ave,49.214778,-123.004608
10244,59683.0,Westbound Rumble St @ Gray Ave,49.214862,-122.999848
10245,59685.0,Westbound Rumble St @ Nelson Ave,49.214888,-122.994317
10246,59680.0,Westbound Rumble St @ McKay Ave,49.214873,-123.009187
10247,59673.0,Westbound Rumble St @ Royal Oak Ave,49.214922,-122.989193
10248,60790.0,Eastbound 64 Ave @ 176 St,49.118681,-122.734154
1025,51016.0,Northbound West Blvd @ W 51 Ave,49.224765,-123.15354
10250,60401.0,Eastbound 64 Ave @ 172 St,49.118733,-122.74546
10251,60752.0,Eastbound 64 Ave @ 184 St,49.11868,-122.711957
10252,60753.0,Eastbound 64 Ave @ 186 St,49.118783,-122.706555
10253,60797.0,Eastbound 64 Ave @ 188 St,49.118908,-122.700371
10255,60798.0,Eastbound 64 Ave @ 190 St,49.118979,-122.695869
10256,59599.0,Southbound 200 St @ 86 Ave,49.158596,-122.668182
10257,60799.0,Westbound 64 Ave @ 190 St,49.119112,-122.697661
10258,60772.0,Westbound 64 Ave @ 188 St,49.119036,-122.702518
10259,60773.0,Westbound 64 Ave @ 186 St,49.118909,-122.708121
1026,51017.0,Northbound Arbutus St @ W 51 Ave,49.225393,-123.155125
10260,60789.0,Westbound 64 Ave @ 184 St,49.118828,-122.712983
10261,59894.0,Westbound 64 Ave @ 172 St,49.11894,-122.746743
10263,58061.0,Southbound Cessna Dr @ Miller Rd,49.191485,-123.141798
10264,59631.0,Northbound Harris Rd @ Civic Centre,49.221141,-122.689447
10267,59629.0,Westbound Ford Rd @ 190A St,49.222496,-122.694363
10268,59628.0,Westbound Ford Rd @ 189B St,49.222501,-122.696219
10269,59627.0,Northbound 189A St @ Ford Rd,49.222731,-122.697676
1027,51018.0,Northbound West Blvd @ W 49 Ave,49.227498,-123.155196
10270,59624.0,Eastbound 122 Ave @ 189A St,49.22429,-122.697301
10271,59625.0,Eastbound 122 Ave @ 190 St,49.224298,-122.69453
10272,59626.0,Eastbound 122 Ave @ 191B St,49.224312,-122.691095
10274,59609.0,Eastbound Park Rd @ 193 St,49.225549,-122.686323
10275,59611.0,Eastbound Park Rd @ Mcmyn Ave,49.225554,-122.682032
10276,59612.0,Northbound Park Rd @ Somerset Dr,49.224982,-122.676923
10277,59638.0,Southbound N Wildwood Cres @ Hammond Rd,49.21694,-122.675166
10278,59639.0,Southbound N Wildwood Cres @ Wildwood Place,49.214673,-122.674125
10279,59640.0,Southbound N Wildwood Cres @ 19800 Block,49.214134,-122.671672
1028,51019.0,Northbound West Blvd @ W 46 Ave,49.230145,-123.155632
10280,59641.0,Southbound Wildwood Cres @ 116A Ave,49.21199,-122.670819
10281,59642.0,Westbound S Wildwood Cres @ 19800 Block,49.210753,-122.672335
10282,59637.0,Westbound S Wildwood Cres @ 19600 Block,49.211523,-122.676583
10283,59635.0,Westbound 116B Ave @ Bonson Rd,49.214474,-122.678639
10284,59636.0,Northbound Bonson Rd @ S Wildwood Cres,49.211844,-122.678195
10285,59634.0,Westbound 116B Ave @ Blakely Rd,49.214448,-122.683394
10286,59633.0,Northbound Blakely Rd @ 117 Ave,49.21547,-122.683748
10288,59671.0,Southbound Nelson Ave @ Rumble St,49.214497,-122.993973
1029,51020.0,Northbound West Blvd @ W 45 Ave,49.231163,-123.155603
10290,59670.0,Southbound Nelson Ave @ Clinton St,49.212593,-122.994004
10292,59669.0,Southbound Nelson Ave @ McKee Place,49.210732,-122.994011
10293,59668.0,Southbound Nelson Ave @ Patrick Place,49.208615,-122.996792
10294,59148.0,Northbound 203 St @ Dewdney Trunk Rd,49.220674,-122.656936
10295,59650.0,Southbound Laity St @ 12200 Block,49.225729,-122.631874
10296,59652.0,Southbound Laity St @ 122 Ave,49.224048,-122.631889
10297,59654.0,Southbound Laity St @ 12100 Block,49.223199,-122.631885
10299,59656.0,Southbound Laity St @ Cook Ave,49.218665,-122.631956
103,50103.0,Westbound Cornwall Ave @ Arbutus St,49.272608,-123.152989
1030,51021.0,Northbound West Blvd @ W 43 Ave,49.232961,-123.155537
10300,59659.0,Southbound Laity St @ Cutler Place,49.216218,-122.631989
10305,59660.0,Northbound Laity St @ 117 Ave,49.215285,-122.631858
10306,59706.0,Southbound 224 St @ 124 Ave,49.227258,-122.601426
10308,59658.0,Northbound Laity St @ Lougheed Hwy,49.217963,-122.631811
10309,59707.0,Southbound 224 St @ 122 Ave,49.223909,-122.601462
1031,51022.0,Northbound West Blvd @ W 41 Ave,49.2349,-123.155429
10310,59657.0,Northbound Laity St @ Cook Ave,49.219438,-122.631799
10313,59711.0,Southbound Edge St @ Brown Ave,49.221082,-122.597881
10314,59653.0,Northbound Laity St @ 121 Ave,49.223603,-122.631776
10315,59651.0,Northbound Laity St @ 122 Ave,49.224907,-122.631757
10316,59149.0,Southbound 203 St @ Lougheed Hwy,49.220665,-122.65716
1032,51023.0,Northbound West Blvd @ W 39 Ave,49.236779,-123.155392
10326,59734.0,Eastbound Murray St @ Klahanie Dr East,49.280456,-122.832769
10327,59733.0,Southbound 124 St @ 58A Ave,49.108542,-122.879218
10328,60887.0,Caulfeild Village @ Safeway,49.350855,-123.252168
10329,59681.0,Westbound Rumble St @ Sussex Ave,49.214867,-123.005284
1033,51024.0,Northbound West Blvd @ W 37 Ave,49.238609,-123.155335
10330,59606.0,Southbound Willingdon Ave @ Maywood St,49.224417,-123.011162
10331,59607.0,Northbound Willingdon Extension @ Imperial St,49.222365,-123.012456
10335,59739.0,Southbound Byrne Rd @ Meadow Ave,49.204316,-122.977921
10336,59741.0,Westbound Southridge Dr @ Byrnepark Dr,49.205818,-122.968894
10339,59742.0,Eastbound Southridge Dr @ Byrnepark Dr,49.205619,-122.967999
10340,59745.0,Northbound Griffiths Dr @ 10 Ave,49.206235,-122.952433
10342,59743.0,Northbound Griffiths Dr @ 14 Ave,49.2102,-122.954091
10343,59774.0,Westbound Lougheed Hwy @ 226 St,49.217181,-122.59665
10344,59773.0,Westbound Lougheed Hwy @ 224 St,49.217028,-122.601051
10345,59778.0,Northbound 227 St @ Dewdney Trunk Rd,49.220874,-122.59391
10347,59777.0,Northbound 227 St @ 121 Ave,49.22277,-122.593855
10349,59254.0,Eastbound Southridge Dr @ Marine Dr,49.204851,-122.975514
1035,51026.0,Northbound Arbutus St @ Quilchena Cres,49.241393,-123.153894
10350,59765.0,Westbound Great Northern Way @ Foley St,49.266404,-123.087137
10352,59761.0,Westbound E 2nd Ave @ Main St,49.269283,-123.101217
10357,59751.0,Westbound W 6th Ave @ Alder Crossing,49.266199,-123.132576
10359,59754.0,Eastbound W 6th Ave @ Heather St,49.265832,-123.120144
1036,51027.0,Northbound Arbutus St @ W 33 Ave,49.242436,-123.153359
10360,61039.0,Olympic Village Station @ Bay 2,49.266425,-123.114936
10361,59758.0,Eastbound W 2nd Ave @ Columbia St,49.269029,-123.109733
10362,59760.0,Eastbound E 2nd Ave @ Ontario St,49.269125,-123.104153
10364,59763.0,Eastbound Great Northern Way @ Brunswick St,49.266743,-123.095812
10365,59766.0,Eastbound Great Northern Way @ Foley St,49.266021,-123.086122
10366,59646.0,Northbound West St @ Maple Meadows Station,49.216888,-122.664763
1037,51028.0,Northbound Arbutus St @ Valley Dr,49.245478,-123.153186
10371,59783.0,Northbound Boundary Rd @ E Kent Ave North,49.203898,-123.023178
10376,59780.0,Southbound Patterson Ave @ Clinton St,49.212629,-123.012493
10377,59649.0,Westbound Hammond Rd @ 20200 Block,49.213596,-122.660143
10378,59775.0,Southbound 228 St @ Dewdney Trunk Rd,49.220113,-122.590426
10379,59794.0,Northbound Cloverdale Bypass @ 58 Ave,49.108571,-122.735851
1038,51029.0,Northbound Arbutus St @ Nanton Ave,49.247961,-123.153085
10383,57381.0,Northbound 53 St @ 3000 Block,49.05737,-123.076889
10384,59687.0,Northbound Greenall Ave @ Marine Way,49.206144,-123.017836
10385,59258.0,Southbound Arthur Dr @ 3800 Block,49.07374,-123.078933
10387,59661.0,Westbound Barnet Rd @ Cariboo Rd,49.287913,-122.915262
10388,59662.0,Eastbound Barnet Rd @ Cariboo Rd,49.287702,-122.914775
10390,52704.0,Southbound Roseberry Ave @ Keith St,49.206391,-123.015277
10399,59832.0,Southbound Howe St @ Dunsmuir St,49.284576,-123.117067
10400,59831.0,Southbound Howe St @ W Pender St,49.285048,-123.116344
10401,59819.0,Northbound Shaughnessy St @ Shaughnessy Place,49.294363,-122.770892
10402,59621.0,Southbound Garden City Rd @ Leslie Rd,49.178984,-123.124761
10404,59838.0,Southbound Main St @ E 39 Ave,49.235131,-123.101698
10405,59784.0,Southbound Griffiths Dr @ Southridge Dr,49.206149,-122.952684
10407,59847.0,Westbound 32 Ave Diversion @ 32 Ave,49.06021,-122.807545
1041,51032.0,Northbound Arbutus St @ W 20 Ave,49.254791,-123.15286
10411,59006.0,Westbound Citadel Dr @ Capital Court,49.228417,-122.790545
10412,58570.0,Westbound Fraser Hwy @ 216 St,49.09645,-122.625752
10413,59849.0,Eastbound Fraser Hwy @ 216 St,49.09569,-122.623945
10417,59617.0,Northbound Mall Access Rd @ Meadowtown Centre,49.221056,-122.670767
1042,58723.0,Northbound Arbutus St @ W 16 Ave,49.257604,-123.152846
10424,50024.0,Westbound Davie St @ Richards St,49.276179,-123.124555
10426,59883.0,Eastbound Lansdowne Rd @ Kwantlen St,49.173705,-123.128278
10427,59851.0,Westbound 20 Ave @ Rotary Way,49.038515,-122.818687
10428,59852.0,South Delta Exchange @ Bay 3,49.03611,-123.066984
10429,59868.0,Edmonds Station @ Bay 7,49.212044,-122.958701
1043,51034.0,Northbound Arbutus St @ W 15 Ave,49.258543,-123.152972
10431,59930.0,Southbound Hudson St @ SW Marine Dr,49.202765,-123.134919
10433,59940.0,Westbound Stadium Rd @ West Mall,49.25498,-123.24893
10435,59929.0,Main Street-Science World Station @ Bay 3,49.273162,-123.098684
10437,59931.0,South Surrey Park & Ride @ Bay 4,49.07214,-122.822421
10439,58762.0,Southbound Fraser St @ SE Marine Dr,49.211303,-123.091221
10440,53515.0,Eastbound Brunette Ave @ Blue Mountain St,49.236125,-122.873272
10441,50015.0,Eastbound Pacific Blvd @ Drake St,49.273429,-123.123135
10442,55427.0,Northbound King George Blvd @ 105A Ave,49.194719,-122.845091
10443,59950.0,Southbound King George Blvd @ 32 Ave,49.060991,-122.812831
10445,59087.0,Northbound King George Blvd @ 148 St,49.06158,-122.813185
10447,59118.0,Eastbound Ewen Ave @ McGillivray Place,49.18861,-122.940844
10450,59942.0,Westbound Thunderbird Blvd @ Larkin Dr,49.259061,-123.249148
10451,59941.0,Southbound West Mall @ Hawthorn Lane,49.257665,-123.249997
10454,59964.0,Northbound NW Marine Dr @ Agronomy Rd,49.259575,-123.254983
10455,59957.0,Eastbound NW Marine Dr @ East Mall,49.270734,-123.254576
10456,59946.0,Southbound Wesbrook Mall @ Iona Dr,49.271678,-123.248276
1046,51037.0,Southbound Renfrew St @ E Hastings St,49.280776,-123.044219
10465,59916.0,Eastbound Pacific Blvd @ Boathouse Mews,49.27421,-123.117633
10466,59924.0,Southbound Quebec St @ Keefer St,49.279008,-123.102218
10467,59918.0,Eastbound Pacific Blvd @ Marinaside Cres,49.274212,-123.114446
10468,50016.0,Yaletown-Roundhouse Station @ Bay 4,49.274036,-123.120842
1047,51038.0,Southbound Renfrew St @ E Georgia St,49.277967,-123.044227
10470,58169.0,Eastbound Keefer Place @ Taylor St,49.279326,-123.105758
10471,59914.0,Westbound Pacific Blvd @ Cambie St,49.274606,-123.119683
10478,59926.0,Eastbound National Ave @ Quebec St,49.27487,-123.101464
10479,59884.0,Westbound Southridge Dr @ 6600 Block,49.204888,-122.95922
1048,51039.0,Southbound Renfrew St @ Venables St,49.276141,-123.044245
10480,59925.0,Northbound Quebec St @ Terminal Ave,49.273368,-123.101534
10481,51913.0,Westbound W 4th Ave @ Blanca St,49.269195,-123.215565
10482,59927.0,Northbound Quebec St @ National Ave,49.275246,-123.101804
10483,59885.0,Eastbound Southridge Dr @ 6600 Block,49.204135,-122.957414
10484,59814.0,Northbound Roseberry Ave @ Keith St,49.207207,-123.015048
10485,59985.0,Southbound 80 St @ 4700 Block,49.087385,-123.001796
10486,59928.0,Eastbound National Ave @ Main St,49.274846,-123.099334
10487,51133.0,Westbound Keefer St @ Columbia St,49.279267,-123.102946
10489,59986.0,Westbound 28 Ave @ 200 St,49.052926,-122.670019
1049,51040.0,Southbound Renfrew St @ William St,49.273888,-123.044287
10490,59987.0,Westbound 28 Ave @ 197A St,49.052921,-122.677559
10491,59988.0,Eastbound 24 Ave @ 196 St,49.045605,-122.679872
10492,59992.0,Northbound Pat Quinn Way @ Expo Blvd,49.278392,-123.107518
105,50105.0,Westbound Cornwall Ave @ Balsam St,49.272731,-123.160216
1050,51041.0,Southbound Renfrew St @ Kitchener St,49.271997,-123.04431
1051,51042.0,Southbound Renfrew St @ E 1st Ave,49.269159,-123.044397
10513,60014.0,Westbound Expo Blvd @ Nelson St,49.274765,-123.116234
10514,51925.0,Eastbound NW Marine Dr @ West Mall,49.268769,-123.258526
10519,59958.0,Northbound Minoru Blvd @ Granville Ave,49.163125,-123.140081
1052,51043.0,Southbound Renfrew St @ E 4th Ave,49.266425,-123.044405
10520,59959.0,Northbound Minoru Blvd @ Minoru Gate,49.165311,-123.140881
10521,60181.0,Northbound Minoru Blvd @ Murdoch Ave,49.167451,-123.140099
10522,59962.0,Northbound Minoru Blvd @ Westminster Hwy,49.170638,-123.140054
1053,51044.0,Southbound Renfrew St @ E 5th Ave,49.265468,-123.044419
10534,59974.0,Northbound Great Canadian Way @ Beckwith Rd,49.193077,-123.124243
1054,51045.0,Southbound Renfrew St @ E 8th Ave,49.262644,-123.044459
10542,50067.0,Eastbound Cornwall Ave @ Balsam St,49.272582,-123.159332
10549,59304.0,Westbound Dewdney Trunk Rd @ Fraser St,49.220544,-122.599936
10550,59710.0,Westbound Dewdney Trunk Rd @ 223 St,49.220551,-122.604122
10553,50408.0,Northbound Seymour St @ W Hastings St,49.28481,-123.112535
10554,59983.0,Westbound Fraser Hwy @ 222 St,49.091951,-122.608976
10557,59708.0,Eastbound Brown Ave @ 224 St,49.221507,-122.600945
10558,52226.0,Westbound Miller Rd @ Templeton St,49.192217,-123.149384
10564,58084.0,Braid Station @ Bay 4,49.233381,-122.882642
10565,53663.0,Westbound United Blvd @ Schooner St,49.228187,-122.840174
10567,59911.0,Eastbound Mary Hill Bypass @ Broadway St,49.241462,-122.76024
10568,59912.0,Westbound Mary Hill Bypass @ Kingsway Ave,49.246142,-122.750353
1057,51048.0,Southbound Renfrew St @ Grandview Hwy,49.257863,-123.044471
10574,60070.0,Southbound 80 St @ River Way,49.144143,-123.001707
10575,60069.0,Westbound River Way @ 82 St,49.145467,-122.997441
10576,60071.0,Eastbound River Way @ 80 St,49.144798,-123.000193
10577,60072.0,Northbound 82 St @ River Way,49.1461,-122.996558
10578,52425.0,Southbound 6th St @ Royal Ave,49.205995,-122.911456
1058,51049.0,Southbound Renfrew St @ E 15 Ave,49.255993,-123.044447
10581,59750.0,Eastbound Murray St @ Capilano Rd,49.28043,-122.830486
10582,59982.0,Southbound Buswell St @ Cook Rd,49.16621,-123.133812
10583,59951.0,Westbound Ioco Rd @ Walton Way,49.292293,-122.851541
10585,59895.0,Eastbound 64 Ave @ 16900 Block,49.118768,-122.750999
10586,59896.0,Westbound 64 Ave @ 16900 Block,49.11896,-122.751882
10587,59892.0,Westbound 64 Ave @ 174A St,49.11889,-122.739775
10588,59893.0,Eastbound 64 Ave @ 173A St,49.118718,-122.741828
1059,51050.0,Southbound Renfrew St @ E 17 Ave,49.254177,-123.044433
10591,60302.0,Northbound Cambie St @ Dunsmuir St,49.280182,-123.111842
10592,60201.0,Southbound Pinetree Way @ David Ave,49.293797,-122.790462
10594,59562.0,Eastbound Rochester Ave @ Goyer Court,49.244979,-122.853637
