route_id,trip_id,trip_headsign,service_id
6612,13997894,2 Macdonald/To 16th Avenue,2
6612,13997895,2 Macdonald/To Dunbar Loop,2
6612,13997896,2 Macdonald/To 16th Avenue,2
6612,13997897,2 Macdonald/To Dunbar Loop,2
6612,13997898,2 Macdonald/To 16th Avenue,2
6612,13997899,2 Macdonald/To Dunbar Loop,2
6612,13997900,2 Macdonald/To 16th Avenue,2
6612,13997901,2 Macdonald/To Dunbar Loop,2
6612,13997902,2 Macdonald/To Dunbar Loop,2
6612,13997903,2 Macdonald/To Dunbar Loop,2
6612,13997904,2 Macdonald/To Dunbar Loop,2
6612,13997905,2 Macdonald/To Dunbar Loop,2
6612,13997906,2 Macdonald/To Dunbar Loop,2
6612,13997907,2 Macdonald/To Dunbar Loop,2
6612,13997908,2 Macdonald/To Dunbar Loop,2
6612,13997909,2 Macdonald/To Dunbar Loop,2
6612,13997910,2 Macdonald/To Dunbar Loop,2
6612,13997911,2 Macdonald/To Dunbar Loop,2
6612,13997912,2 Macdonald/To Dunbar Loop,2
6612,13997913,2 Macdonald/To Dunbar Loop,2
6612,13997914,2 Macdonald/To Dunbar Loop,2
6612,13997915,2 Macdonald/To Dunbar Loop,2
6612,13997916,2 Macdonald/To Dunbar Loop,2
6612,13997917,2 Macdonald/To Dunbar Loop,2
6612,13997918,2 Macdonald/To Dunbar Loop,2
6612,13997919,2 Macdonald/To Dunbar Loop,2
6612,13997920,2 Macdonald/To Dunbar Loop,2
6612,13997921,2 Macdonald/To Dunbar Loop,2
6612,13997922,2 Macdonald/To Dunbar Loop,2
6612,13997923,2 Macdonald/To Dunbar Loop,2
6612,13997924,2 Macdonald/To Dunbar Loop,2
6612,13997925,2 Macdonald/To Dunbar Loop,2
6612,13997926,2 Macdonald/To Dunbar Loop,2
6612,13997927,2 Macdonald/To Dunbar Loop,2
6612,13997928,2 Macdonald/To Dunbar Loop,2
6612,13997929,2 Macdonald/To Dunbar Loop,2
6612,13997930,2 Macdonald/To Dunbar Loop,2
6612,13997931,2 Macdonald/To Dunbar Loop,2
6612,13997932,2 Macdonald/To Dunbar Loop,2
6612,13997933,2 Macdonald/To Dunbar Loop,2
6612,13997934,2 Macdonald/To Dunbar Loop,2
6612,13997935,2 Macdonald/To Dunbar Loop,2
6612,13997936,2 Macdonald/To Dunbar Loop,2
6612,13997937,2 Macdonald/To Dunbar Loop,2
6612,13997938,2 Macdonald/To Dunbar Loop,2
6612,13997939,2 Macdonald/To Dunbar Loop,2
6612,13997940,2 Macdonald/To Dunbar Loop,2
6612,13997941,2 Macdonald/To 16th Avenue,2
6612,13997942,2 Macdonald/To 16th Avenue,2
6612,13997943,2 Macdonald/To 16th Avenue,2
6612,13997944,2 Macdonald/To 16th Avenue,2
6612,13997945,2 Macdonald/To 16th Avenue,2
6612,13997946,2 Macdonald/To 16th Avenue,2
6612,13997947,2 Macdonald/To 16th Avenue,2
6612,13997948,2 Macdonald/To 16th Avenue,2
