trip_id,route_id,service_id,trip_headsign
13997735,6612,1,2 Macdonald/To Dunbar Loop
13997736,6612,1,2 Macdonald/To Dunbar Loop
13997737,6612,1,2 Macdonald/To Dunbar Loop
13997738,6612,1,2 Macdonald/To Dunbar Loop
13997739,6612,1,2 Macdonald/To Dunbar Loop
13997740,6612,1,2 Macdonald/To Dunbar Loop
13997741,6612,1,2 Macdonald/To Dunbar Loop
13997742,6612,1,2 Macdonald/To Dunbar Loop
13997743,6612,1,2 Macdonald/To Dunbar Loop
13997744,6612,1,2 Macdonald/To Dunbar Loop
13997745,6612,1,2 Macdonald/To Dunbar Loop
13997746,6612,1,2 Macdonald/To Dunbar Loop
13997747,6612,1,2 Macdonald/To Dunbar Loop
13997748,6612,1,2 Macdonald/To Dunbar Loop
13997749,6612,1,2 Macdonald/To Dunbar Loop
13997750,6612,1,2 Macdonald/To Dunbar Loop
13997751,6612,1,2 Macdonald/To Dunbar Loop
13997752,6612,1,2 Macdonald/To Dunbar Loop
13997753,6612,1,2 Macdonald/To Dunbar Loop
13997754,6612,1,2 Macdonald/To Dunbar Loop
13997760,6612,2,2 Macdonald/To Burrard Station
13997761,6612,2,2 Macdonald/To Burrard Station
13997762,6612,2,2 Macdonald/To Burrard Station
13997763,6612,2,2 Macdonald/To Burrard Station
13997764,6612,2,2 Macdonald/To Burrard Station
13997765,6612,2,2 Macdonald/To Burrard Station
13997766,6612,2,2 Macdonald/To Burrard Station
13997767,6612,2,2 Macdonald/To Burrard Station
13997768,6612,2,2 Macdonald/To Burrard Station
13997769,6612,2,2 Macdonald/To Burrard Station
13997770,6612,2,2 Macdonald/To Burrard Station
13997771,6612,2,2 Macdonald/To Burrard Station
13997772,6612,2,2 Macdonald/To Burrard Station
13997773,6612,2,2 Macdonald/To Burrard Station
13997774,6612,2,2 Macdonald/To Burrard Station
13997775,6612,2,2 Macdonald/To Burrard Station
13997776,6612,2,2 Macdonald/To Burrard Station
13997777,6612,2,2 Macdonald/To Burrard Station
13997778,6612,2,2 Macdonald/To Burrard Station
13997779,6612,2,2 Macdonald/To Burrard Station
13997780,6612,2,2 Macdonald/To Burrard Station
13997781,6612,2,2 Macdonald/To Burrard Station
13997782,6612,2,2 Macdonald/To Burrard Station
13997783,6612,2,2 Macdonald/To Burrard Station
13997784,6612,2,2 Macdonald/To Burrard Station
13997785,6612,2,2 Macdonald/To Burrard Station
13997786,6612,2,2 Macdonald/To Burrard Station
13997787,6612,2,2 Macdonald/To Burrard Station
13997788,6612,2,2 Macdonald/To Burrard Station
13997789,6612,2,2 Macdonald/To Burrard Station
13997790,6612,2,2 Macdonald/To Burrard Station
13997791,6612,2,2 Macdonald/To Burrard Station
13997792,6612,2,2 Macdonald/To Burrard Station
13997793,6612,2,2 Macdonald/To Burrard Station
13997794,6612,2,2 Macdonald/To Burrard Station
13997795,6612,2,2 Macdonald/To Burrard Station
13997796,6612,2,2 Macdonald/To Burrard Station
13997797,6612,2,2 Macdonald/To Burrard Station
13997798,6612,2,2 Macdonald/To Burrard Station
13997799,6612,2,2 Macdonald/To Burrard Station
13997800,6612,2,2 Macdonald/To Burrard Station
13997801,6612,2,2 Macdonald/To Burrard Station
13997802,6612,2,2 Macdonald/To Burrard Station
13997803,6612,2,2 Macdonald/To Burrard Station
13997804,6612,2,2 Macdonald/To Burrard Station
13997805,6612,2,2 Macdonald/To Burrard Station
13997806,6612,2,2 Macdonald/To Burrard Station
13997807,6612,2,2 Macdonald/To Burrard Station
13997808,6612,2,2 Macdonald/To Burrard Station
13997809,6612,2,2 Macdonald/To Burrard Station
13997810,6612,2,2 Macdonald/To Burrard Station
13997811,6612,2,2 Macdonald/To Burrard Station
13997812,6612,2,2 Macdonald/To Burrard Station
13997813,6612,2,2 Macdonald/To Burrard Station
13997814,6612,2,2 Macdonald/To Burrard Station
13997815,6612,2,2 Macdonald/To Burrard Station
13997816,6612,2,2 Macdonald/To Burrard Station
13997817,6612,2,2 Macdonald/To Burrard Station
13997818,6612,2,2 Macdonald/To Burrard Station
13997819,6612,2,2 Macdonald/To Burrard Station
13997820,6612,2,2 Macdonald/To Burrard Station
13997821,6612,2,2 Macdonald/To Burrard Station
13997822,6612,2,2 Macdonald/To Burrard Station
13997823,6612,2,2 Macdonald/To Burrard Station
13997824,6612,2,2 Macdonald/To Burrard Station
13997825,6612,2,2 Macdonald/To Burrard Station
13997826,6612,2,2 Macdonald/To Burrard Station
13997827,6612,2,2 Macdonald/To Burrard Station
13997828,6612,2,2 Macdonald/To Burrard Station
13997829,6612,2,2 Macdonald/To Burrard Station
13997830,6612,2,2 Macdonald/To Burrard Station
13997831,6612,2,2 Macdonald/To Burrard Station
13997832,6612,2,2 Macdonald/To Burrard Station
13997833,6612,2,2 Macdonald/To Burrard Station
13997834,6612,2,2 Macdonald/To Burrard Station
13997835,6612,2,2 Macdonald/To Burrard Station
13997836,6612,2,2 Macdonald/To Burrard Station
13997837,6612,2,2 Macdonald/To Burrard Station
13997838,6612,2,2 Macdonald/To Burrard Station
13997839,6612,2,2 Macdonald/To Burrard Station
13997840,6612,2,2 Macdonald/To Burrard Station
13997841,6612,2,2 Macdonald/To Burrard Station
13997842,6612,2,2 Macdonald/To Burrard Station
13997843,6612,2,2 Macdonald/To Burrard Station
13997844,6612,2,2 Macdonald/To Burrard Station
13997845,6612,2,2 Macdonald/To Burrard Station
13997846,6612,2,2 Macdonald/To Burrard Station
13997847,6612,2,2 Macdonald/To Burrard Station
13997848,6612,2,2 Macdonald/To Burrard Station
13997849,6612,2,2 Macdonald/To Burrard Station
13997850,6612,2,2 Macdonald/To Burrard Station
13997851,6612,2,2 Macdonald/To Burrard Station
13997852,6612,2,2 Macdonald/To Burrard Station
13997859,6612,2,2 Macdonald/To Dunbar Loop
13997860,6612,2,2 Macdonald/To Dunbar Loop
13997861,6612,2,2 Macdonald/To Dunbar Loop
13997862,6612,2,2 Macdonald/To Dunbar Loop
13997863,6612,2,2 Macdonald/To Dunbar Loop
13997864,6612,2,2 Macdonald/To Dunbar Loop
13997865,6612,2,2 Macdonald/To Dunbar Loop
13997866,6612,2,2 Macdonald/To Dunbar Loop
13997867,6612,2,2 Macdonald/To Dunbar Loop
13997868,6612,2,2 Macdonald/To 16th Avenue
13997869,6612,2,2 Macdonald/To Dunbar Loop
13997870,6612,2,2 Macdonald/To 16th Avenue
13997871,6612,2,2 Macdonald/To Dunbar Loop
13997872,6612,2,2 Macdonald/To 16th Avenue
13997873,6612,2,2 Macdonald/To Dunbar Loop
13997874,6612,2,2 Macdonald/To 16th Avenue
13997875,6612,2,2 Macdonald/To Dunbar Loop
13997876,6612,2,2 Macdonald/To 16th Avenue
13997877,6612,2,2 Macdonald/To Dunbar Loop
13997878,6612,2,2 Macdonald/To 16th Avenue
13997879,6612,2,2 Macdonald/To Dunbar Loop
13997880,6612,2,2 Macdonald/To 16th Avenue
13997881,6612,2,2 Macdonald/To Dunbar Loop
13997882,6612,2,2 Macdonald/To 16th Avenue
13997883,6612,2,2 Macdonald/To Dunbar Loop
13997884,6612,2,2 Macdonald/To 16th Avenue
13997885,6612,2,2 Macdonald/To Dunbar Loop
13997886,6612,2,2 Macdonald/To 16th Avenue
13997887,6612,2,2 Macdonald/To Dunbar Loop
13997888,6612,2,2 Macdonald/To 16th Avenue
13997889,6612,2,2 Macdonald/To Dunbar Loop
13997890,6612,2,2 Macdonald/To 16th Avenue
13997891,6612,2,2 Macdonald/To Dunbar Loop
13997892,6612,2,2 Macdonald/To 16th Avenue
13997893,6612,2,2 Macdonald/To Dunbar Loop
13997894,6612,2,2 Macdonald/To 16th Avenue
13997895,6612,2,2 Macdonald/To Dunbar Loop
13997896,6612,2,2 Macdonald/To 16th Avenue
13997897,6612,2,2 Macdonald/To Dunbar Loop
13997898,6612,2,2 Macdonald/To 16th Avenue
13997899,6612,2,2 Macdonald/To Dunbar Loop
13997900,6612,2,2 Macdonald/To 16th Avenue
13997901,6612,2,2 Macdonald/To Dunbar Loop
13997902,6612,2,2 Macdonald/To Dunbar Loop
13997903,6612,2,2 Macdonald/To Dunbar Loop
13997904,6612,2,2 Macdonald/To Dunbar Loop
13997905,6612,2,2 Macdonald/To Dunbar Loop
13997906,6612,2,2 Macdonald/To Dunbar Loop
13997907,6612,2,2 Macdonald/To Dunbar Loop
13997908,6612,2,2 Macdonald/To Dunbar Loop
13997909,6612,2,2 Macdonald/To Dunbar Loop
13997910,6612,2,2 Macdonald/To Dunbar Loop
13997911,6612,2,2 Macdonald/To Dunbar Loop
13997912,6612,2,2 Macdonald/To Dunbar Loop
13997913,6612,2,2 Macdonald/To Dunbar Loop
13997914,6612,2,2 Macdonald/To Dunbar Loop
